0,360,552,675,73,265,564,394,644,492,592,232,101,391,729,705,453,57,634,570
360,0,169,588,663,560,320,919,648,485,188,731,537,558,725,784,403,550,485,952
552,169,0,560,453,558,268,513,414,582,563,466,383,733,660,401,70,482,813,572
675,588,560,0,658,525,507,376,504,670,695,657,489,562,459,635,502,80,433,218
73,663,453,658,0,631,604,530,504,538,486,436,540,327,523,495,507,851,636,495
265,560,558,525,631,0,459,569,535,648,791,412,568,372,669,756,155,451,298,721
564,320,268,507,604,459,0,368,190,601,609,420,621,739,424,471,691,560,581,704
394,919,513,376,530,569,368,0,731,646,847,107,832,190,782,617,375,749,603,373
644,648,414,504,504,535,190,731,0,523,409,588,889,487,529,579,652,791,345,728
492,485,582,670,538,648,601,646,523,0,388,812,611,476,583,787,539,231,560,452
592,188,563,695,486,791,609,847,409,388,0,606,599,516,532,412,393,522,756,461
232,731,466,657,436,412,420,107,588,812,606,0,925,508,353,607,816,734,318,553
101,537,383,489,540,568,621,832,889,611,599,925,0,614,491,322,777,345,370,513
391,558,733,562,327,372,739,190,487,476,516,508,614,0,514,446,651,607,390,291
729,725,660,459,523,669,424,782,529,583,532,353,491,514,0,710,449,420,691,665
705,784,401,635,495,756,471,617,579,787,412,607,322,446,710,0,486,422,446,404
453,403,70,502,507,155,691,375,652,539,393,816,777,651,449,486,0,744,74,548
57,550,482,80,851,451,560,749,791,231,522,734,345,607,420,422,744,0,482,411
634,485,813,433,636,298,581,603,345,560,756,318,370,390,691,446,74,482,0,726
570,952,572,218,495,721,704,373,728,452,461,553,513,291,665,404,548,411,726,0
