0,778,629,676,442,477,733,521,769,207,245,147,526,277,580,282,559,201,559,674
778,0,722,535,470,358,923,734,434,333,303,378,697,488,423,541,365,77,702,693
629,722,0,804,721,416,533,381,415,582,394,579,425,651,857,721,75,387,524,514
676,535,804,0,554,845,453,530,324,829,71,165,231,830,364,165,413,720,196,420
442,470,721,554,0,765,547,623,383,678,691,542,389,276,304,141,856,345,472,582
477,358,416,845,765,0,702,517,498,80,350,516,204,463,848,359,580,603,614,511
733,923,533,453,547,702,0,122,366,684,287,564,727,685,739,422,115,571,243,311
521,734,381,530,623,517,122,0,941,115,65,351,610,402,228,552,637,399,528,293
769,434,415,324,383,498,366,941,0,241,318,490,411,343,574,831,632,729,832,417
207,333,582,829,678,80,684,115,241,0,682,817,581,450,601,439,742,356,363,373
245,303,394,71,691,350,287,65,318,682,0,413,602,219,330,630,536,223,176,378
147,378,579,165,542,516,564,351,490,817,413,0,936,281,812,745,895,412,412,870
526,697,425,231,389,204,727,610,411,581,602,936,0,521,360,732,570,426,637,283
277,488,651,830,276,463,685,402,343,450,219,281,521,0,821,614,376,444,229,693
580,423,857,364,304,848,739,228,574,601,330,812,360,821,0,709,524,679,500,504
282,541,721,165,141,359,422,552,831,439,630,745,732,614,709,0,850,775,285,325
559,365,75,413,856,580,115,637,632,742,536,895,570,376,524,850,0,685,449,831
201,77,387,720,345,603,571,399,729,356,223,412,426,444,679,775,685,0,768,296
559,702,524,196,472,614,243,528,832,363,176,412,637,229,500,285,449,768,0,711
674,693,514,420,582,511,311,293,417,373,378,870,283,693,504,325,831,296,711,0
