0,575,325,269,819,400,436,458,796,420,783,599,549,584,62,242,415,508,290,160
575,0,189,535,666,541,371,665,560,636,139,305,409,528,205,473,510,803,469,36
325,189,0,659,531,539,766,254,435,753,226,573,566,452,392,639,287,379,430,559
269,535,659,0,690,678,554,817,434,638,673,429,615,107,379,901,342,536,355,287
819,666,531,690,0,483,513,663,206,536,505,55,473,376,368,767,420,179,91,347
400,541,539,678,483,0,903,150,502,339,766,321,706,490,549,662,227,436,568,508
436,371,766,554,513,903,0,371,417,668,353,497,309,287,259,379,209,796,426,495
458,665,254,817,663,150,371,0,589,679,121,332,463,323,543,668,490,165,492,414
796,560,435,434,206,502,417,589,0,564,487,492,510,496,480,361,231,664,774,382
420,636,753,638,536,339,668,679,564,0,389,436,374,531,531,647,395,155,549,507
783,139,226,673,505,766,353,121,487,389,0,273,474,830,721,273,553,447,704,352
599,305,573,429,55,321,497,332,492,436,273,0,425,212,507,633,547,619,459,775
549,409,566,615,473,706,309,463,510,374,474,425,0,899,847,675,195,510,685,207
584,528,452,107,376,490,287,323,496,531,830,212,899,0,638,452,259,237,486,553
62,205,392,379,368,549,259,543,480,531,721,507,847,638,0,734,612,442,248,709
242,473,639,901,767,662,379,668,361,647,273,633,675,452,734,0,543,604,246,357
415,510,287,342,420,227,209,490,231,395,553,547,195,259,612,543,0,501,237,637
508,803,379,536,179,436,796,165,664,155,447,619,510,237,442,604,501,0,335,695
290,469,430,355,91,568,426,492,774,549,704,459,685,486,248,246,237,335,0,629
160,36,559,287,347,508,495,414,382,507,352,775,207,553,709,357,637,695,629,0
