0,962,246,430,368,572,482,208,331,679,430,410,679,692,346,538,349,146,244,511
962,0,418,515,319,212,422,811,448,216,652,837,385,438,517,418,617,696,447,522
246,418,0,235,562,365,487,858,939,703,461,805,691,328,908,676,374,699,618,722
430,515,235,0,731,307,759,565,562,620,523,550,355,632,481,567,599,717,332,525
368,319,562,731,0,392,485,618,852,463,481,451,594,166,420,113,508,382,637,394
572,212,365,307,392,0,599,365,526,528,485,349,539,262,448,526,488,728,492,634
482,422,487,759,485,599,0,478,833,656,584,594,383,506,340,441,911,574,477,179
208,811,858,565,618,365,478,0,549,572,905,326,660,566,530,469,319,648,570,497
331,448,939,562,852,526,833,549,0,720,614,506,487,135,378,704,301,389,205,378
679,216,703,620,463,528,656,572,720,0,587,595,398,607,673,433,261,719,662,235
430,652,461,523,481,485,584,905,614,587,0,680,459,555,377,463,475,603,595,662
410,837,805,550,451,349,594,326,506,595,680,0,499,696,808,352,383,881,870,409
679,385,691,355,594,539,383,660,487,398,459,499,0,656,539,555,360,432,480,519
692,438,328,632,166,262,506,566,135,607,555,696,656,0,338,761,249,325,638,230
346,517,908,481,420,448,340,530,378,673,377,808,539,338,0,504,410,600,334,289
538,418,676,567,113,526,441,469,704,433,463,352,555,761,504,0,618,895,905,646
349,617,374,599,508,488,911,319,301,261,475,383,360,249,410,618,0,221,677,648
146,696,699,717,382,728,574,648,389,719,603,881,432,325,600,895,221,0,179,281
244,447,618,332,637,492,477,570,205,662,595,870,480,638,334,905,677,179,0,616
511,522,722,525,394,634,179,497,378,235,662,409,519,230,289,646,648,281,616,0
